ticker,field,value,override
AD NA Equity,NAME,KONINKLIJKE AHOLD DELHAIZE N,""
ADEN SE Equity,NAME,ADECCO GROUP AG-REG,""
ADEN SW Equity,NAME,ADECCO GROUP AG-REG,""
ADM LN Equity,NAME,ADMIRAL GROUP PLC,""
ADP FP Equity,NAME,ADP,""
ADS GY Equity,NAME,ADIDAS AG,""
AENA SQ Equity,NAME,AENA SME SA,""
AF FP Equity,NAME,AIR FRANCE-KLM,""
BNZL LN Equity,NAME,BUNZL PLC,""
BOKA NA Equity,NAME,BOSKALIS WESTMINSTER,""
BOL FP Equity,NAME,BOLLORE,""
BOL SS Equity,NAME,BOLIDEN AB,""
BOSS GY Equity,NAME,HUGO BOSS AG  -ORD,""
BP/ LN Equity,NAME,BP PLC,""
BPE IM Equity,NAME,BPER BANCA,""
BRBY LN Equity,NAME,BURBERRY GROUP PLC,""
BT/A LN Equity,NAME,BT GROUP PLC,""
BTG LN Equity,NAME,BTG PLC,""
AT1 GY Equity,NAME,AROUNDTOWN SA,""
ATC NA Equity,NAME,ALTICE EUROPE NV,""
ATCOA SS Equity,NAME,ATLAS COPCO AB-A SHS,""
ATE FP Equity,NAME,ALTEN SA,""
ATL IM Equity,NAME,ATLANTIA SPA,""
ATO FP Equity,NAME,ATOS SE,""
AUTO LN Equity,NAME,AUTO TRADER GROUP PLC,""
AV/ LN Equity,NAME,AVIVA PLC,""
AZA SS Equity,NAME,AVANZA BANK HOLDING AB,""
AZN LN Equity,NAME,ASTRAZENECA PLC,""
CHR DC Equity,NAME,CHR HANSEN HOLDING A/S,""
CINE LN Equity,NAME,CINEWORLD GROUP PLC,""
CLN SE Equity,NAME,CLARIANT AG-REG,""
CLNX SQ Equity,NAME,CELLNEX TELECOM SAU,""
CMBN SE Equity,NAME,CEMBRA MONEY BANK AG,""
CNA LN Equity,NAME,CENTRICA PLC,""
CNHI IM Equity,NAME,CNH INDUSTRIAL NV,""
CNP FP Equity,NAME,CNP ASSURANCES,""
CO FP Equity,NAME,CASINO GUICHARD PERRACHON,""
COA LN Equity,NAME,COATS GROUP PLC,""
DLG LN Equity,NAME,DIRECT LINE INSURANCE GROUP,""
DLN LN Equity,NAME,DERWENT LONDON PLC,""
DMGT LN Equity,NAME,DAILY MAIL&GENERAL TST-A NV,""
DMP GY Equity,NAME,DERMAPHARM HOLDING SE,""
DNB NO Equity,NAME,DNB ASA,""
DOKA SE Equity,NAME,DORMAKABA HOLDING AG,""
DOM SS Equity,NAME,DOMETIC GROUP AB,""
DPH LN Equity,NAME,DECHRA PHARMACEUTICALS PLC,""
DPW GY Equity,NAME,DEUTSCHE POST AG-REG,""
DRI GY Equity,NAME,1&1 DRILLISCH AG,""
DANSKE DC Equity,NAME,DANSKE BANK A/S,""
DB1 GY Equity,NAME,DEUTSCHE BOERSE AG,""
DBK GY Equity,NAME,DEUTSCHE BANK AG-REGISTERED,""
DC/ LN Equity,NAME,DIXONS CARPHONE PLC,""
DCC LN Equity,NAME,DCC PLC,""
DEC FP Equity,NAME,JCDECAUX SA,""
DG FP Equity,NAME,VINCI SA,""
DGE LN Equity,NAME,DIAGEO PLC,""
DHER GY Equity,NAME,DELIVERY HERO AG,""
DKSH SE Equity,NAME,DKSH HOLDING AG,""
CRDA LN Equity,NAME,CRODA INTERNATIONAL PLC,""
CRH ID Equity,NAME,CRH PLC,""
CRH LN Equity,NAME,CRH PLC,""
CS FP Equity,NAME,AXA SA,""
CSGN SE Equity,NAME,CREDIT SUISSE GROUP AG-REG,""
CSGN SW Equity,NAME,CREDIT SUISSE GROUP AG-REG,""
CSP LN Equity,NAME,COUNTRYSIDE PROPERTIES PLC,""
CTEC LN Equity,NAME,CONVATEC GROUP PLC,""
CYBG LN Equity,NAME,CYBG PLC,""
DAI GY Equity,NAME,DAIMLER AG-REGISTERED SHARES,""
EMG LN Equity,NAME,MAN GROUP PLC,""
EMSN SE Equity,NAME,EMS-CHEMIE HOLDING AG-REG,""
EN FP Equity,NAME,BOUYGUES SA,""
ENEL IM Equity,NAME,ENEL SPA,""
ENG SM Equity,NAME,ENAGAS SA,""
ENG SQ Equity,NAME,ENAGAS SA,""
ENGI FP Equity,NAME,ENGIE,""
ENI IM Equity,NAME,ENI SPA,""
ENX FP Equity,NAME,EURONEXT NV,""
EO FP Equity,NAME,FAURECIA,""
COB LN Equity,NAME,COBHAM PLC,""
COFB BB Equity,NAME,COFINIMMO,""
COL SQ Equity,NAME,INMOBILIARIA COLONIAL SOCIMI,""
COLOB DC Equity,NAME,COLOPLAST-B,""
COLR BB Equity,NAME,COLRUYT SA,""
CON GY Equity,NAME,CONTINENTAL AG,""
COV FP Equity,NAME,COVIVIO,""
CPG LN Equity,NAME,COMPASS GROUP PLC,""
CPI LN Equity,NAME,CAPITA PLC,""
CPR IM Equity,NAME,DAVIDE CAMPARI-MILANO SPA,""
EDF FP Equity,NAME,EDF,""
EDP PL Equity,NAME,EDP-ENERGIAS DE PORTUGAL SA,""
EI FP Equity,NAME,ESSILOR INTERNATIONAL,""
EKTAB SS Equity,NAME,ELEKTA AB-B SHS,""
EL US Equity,NAME,ESTEE LAUDER COMPANIES-CL A,""
ELE SQ Equity,NAME,ENDESA SA,""
ELIS FP Equity,NAME,ELIS SA,""
ELISA FH Equity,NAME,ELISA OYJ,""
ELTA LN Equity,NAME,ELECTRA PRIVATE EQUITY PLC,""
ELUXB SS Equity,NAME,ELECTROLUX AB-SER B,""
FHZN SE Equity,NAME,FLUGHAFEN ZURICH AG-REG,""
FI/N SE Equity,NAME,FISCHER (GEORG)-REG,""
FLS DC Equity,NAME,FLSMIDTH & CO A/S,""
FME GY Equity,NAME,FRESENIUS MEDICAL CARE AG &,""
FNTN GY Equity,NAME,FREENET AG,""
FORTUM FH Equity,NAME,FORTUM OYJ,""
FP FP Equity,NAME,TOTAL SA,""
FPE3 GY Equity,NAME,FUCHS PETROLUB SE -PREF,""
FR FP Equity,NAME,VALEO SA,""
FRA GY Equity,NAME,FRAPORT AG FRANKFURT AIRPORT,""
EOAN GY Equity,NAME,E.ON SE,""
EPIA SS Equity,NAME,EPIROC AB-A,""
EQNR NO Equity,NAME,EQUINOR ASA,""
ERF FP Equity,NAME,EUROFINS SCIENTIFIC,""
ERICB SS Equity,NAME,ERICSSON LM-B SHS,""
ESL LN Equity,NAME,EDDIE STOBART LOGISTICS PLC,""
ESSITYB SS Equity,NAME,ESSITY AKTIEBOLAG-B,""
ETL FP Equity,NAME,EUTELSAT COMMUNICATIONS,""
EVK GY Equity,NAME,EVONIK INDUSTRIES AG,""
EVR LN Equity,NAME,EVRAZ PLC,""
DSM NA Equity,NAME,KONINKLIJKE DSM NV,""
DSV DC Equity,NAME,DSV A/S,""
DSY FP Equity,NAME,DASSAULT SYSTEMES SA,""
DTE GY Equity,NAME,DEUTSCHE TELEKOM AG-REG,""
DUE GY Equity,NAME,DUERR AG,""
DUFN SE Equity,NAME,DUFRY AG-REG,""
DWNI GY Equity,NAME,DEUTSCHE WOHNEN SE,""
EBS AV Equity,NAME,ERSTE GROUP BANK AG,""
ECM LN Equity,NAME,ELECTROCOMPONENTS PLC,""
EDEN FP Equity,NAME,EDENRED,""
CAST SS Equity,NAME,CASTELLUM AB,""
CBG LN Equity,NAME,CLOSE BROTHERS GROUP PLC,""
CBK GY Equity,NAME,COMMERZBANK AG,""
CCH LN Equity,NAME,COCA-COLA HBC AG-DI,""
CCL LN Equity,NAME,CARNIVAL PLC,""
CDI FP Equity,NAME,CHRISTIAN DIOR SE,""
CERV IM Equity,NAME,CERVED GROUP SPA,""
CEZ CK Equity,NAME,CEZ AS,""
CFR SE Equity,NAME,CIE FINANCIERE RICHEMONT-REG,""
CGG FP Equity,NAME,CGG SA,""
EXO IM Equity,NAME,EXOR NV,""
EXPN LN Equity,NAME,EXPERIAN PLC,""
EZJ LN Equity,NAME,EASYJET PLC,""
FABG SS Equity,NAME,FABEGE AB,""
FBK IM Equity,NAME,FINECOBANK SPA,""
FCA IM Equity,NAME,FIAT CHRYSLER AUTOMOBILES NV,""
FDP LN Equity,NAME,FIRST DERIVATIVES PLC,""
FER SQ Equity,NAME,FERROVIAL SA,""
FERG LN Equity,NAME,FERGUSON PLC,""
FGR FP Equity,NAME,EIFFAGE,""
GLJ GY Equity,NAME,GRENKE AG,""
GLO LN Equity,NAME,CONTOURGLOBAL PLC,""
GLPG NA Equity,NAME,GALAPAGOS NV,""
GN DC Equity,NAME,GN STORE NORD A/S,""
GPOR LN Equity,NAME,GREAT PORTLAND ESTATES PLC,""
GRF SQ Equity,NAME,GRIFOLS SA,""
GSK LN Equity,NAME,GLAXOSMITHKLINE PLC,""
GTO NA Equity,NAME,GEMALTO,""
GVC LN Equity,NAME,GVC HOLDINGS PLC,""
GXI GY Equity,NAME,GERRESHEIMER AG,""
HUH1V FH Equity,NAME,HUHTAMAKI OYJ,""
HUSQB SS Equity,NAME,HUSQVARNA AB-B SHS,""
HWDN LN Equity,NAME,HOWDEN JOINERY GROUP PLC,""
IAG LN Equity,NAME,INTL CONSOLIDATED AIRLINE-DI,""
IBE SQ Equity,NAME,IBERDROLA SA,""
IBST LN Equity,NAME,IBSTOCK PLC,""
ICA SS Equity,NAME,ICA GRUPPEN AB,""
ICAD FP Equity,NAME,ICADE,""
ICP LN Equity,NAME,INTERMEDIATE CAPITAL GROUP,""
IFX GY Equity,NAME,INFINEON TECHNOLOGIES AG,""
HLMA LN Equity,NAME,HALMA PLC,""
HMB SS Equity,NAME,HENNES & MAURITZ AB-B SHS,""
HMSO LN Equity,NAME,HAMMERSON PLC,""
HNR1 GY Equity,NAME,HANNOVER RUECK SE,""
HO FP Equity,NAME,THALES SA,""
HOT GY Equity,NAME,HOCHTIEF AG,""
HPOLB SS Equity,NAME,HEXPOL AB,""
HSBA LN Equity,NAME,HSBC HOLDINGS PLC,""
HSV LN Equity,NAME,HOMESERVE PLC,""
HSX LN Equity,NAME,HISCOX LTD,""
FRE GY Equity,NAME,FRESENIUS SE & CO KGAA,""
FRES LN Equity,NAME,FRESNILLO PLC,""
FTI FP Equity,NAME,TECHNIPFMC PLC,""
G IM Equity,NAME,ASSICURAZIONI GENERALI,""
G1A GY Equity,NAME,GEA GROUP AG,""
G24 GY Equity,NAME,SCOUT24 AG,""
GALP PL Equity,NAME,GALP ENERGIA SGPS SA,""
GAM SE Equity,NAME,GAM HOLDING AG,""
GBLB BB Equity,NAME,GROUPE BRUXELLES LAMBERT SA,""
GEBN SE Equity,NAME,GEBERIT AG-REG,""
HAS LN Equity,NAME,HAYS PLC,""
HEI GY Equity,NAME,HEIDELBERGCEMENT AG,""
HEIA NA Equity,NAME,HEINEKEN NV,""
HEIO NA Equity,NAME,HEINEKEN HOLDING NV,""
HELN SE Equity,NAME,HELVETIA HOLDING AG-REG,""
HEN GY Equity,NAME,HENKEL AG & CO KGAA,""
HEN3 GY Equity,NAME,HENKEL AG & CO KGAA VORZUG,""
HEXAB SS Equity,NAME,HEXAGON AB-B SHS,""
HL/ LN Equity,NAME,HARGREAVES LANSDOWN PLC,""
HLE GY Equity,NAME,HELLA GMBH & CO KGAA,""
IG IM Equity,NAME,ITALGAS SPA,""
IGG LN Equity,NAME,IG GROUP HOLDINGS PLC,""
IGY GY Equity,NAME,INNOGY SE,""
IHG LN Equity,NAME,INTERCONTINENTAL HOTELS GROU,""
III LN Equity,NAME,3I GROUP PLC,""
ILD FP Equity,NAME,ILIAD SA,""
IMB LN Equity,NAME,IMPERIAL BRANDS PLC,""
IMCD NA Equity,NAME,IMCD NV,""
IMI LN Equity,NAME,IMI PLC,""
INCH LN Equity,NAME,INCHCAPE PLC,""
INDUA SS Equity,NAME,INDUSTRIVARDEN AB-A SHS,""
INDV LN Equity,NAME,INDIVIOR PLC,""
INF LN Equity,NAME,INFORMA PLC,""
ING FP Equity,NAME,INGENICO GROUP,""
INGA NA Equity,NAME,ING GROEP NV,""
INTU LN Equity,NAME,INTU PROPERTIES PLC,""
INVEB SS Equity,NAME,INVESTOR AB-B SHS,""
INVP LN Equity,NAME,INVESTEC PLC,""
IPN FP Equity,NAME,IPSEN,""
ISAT LN Equity,NAME,INMARSAT PLC,""
ISP IM Equity,NAME,INTESA SANPAOLO,""
ISS DC Equity,NAME,ISS A/S,""
ITRK LN Equity,NAME,INTERTEK GROUP PLC,""
ITV LN Equity,NAME,ITV PLC,""
ITX SM Equity,NAME,INDUSTRIA DE DISENO TEXTIL,""
ITX SQ Equity,NAME,INDUSTRIA DE DISENO TEXTIL,""
IWG LN Equity,NAME,IWG PLC,""
JDW LN Equity,NAME,WETHERSPOON (J.D.) PLC,""
JE/ LN Equity,NAME,JUST EAT PLC,""
JMAT LN Equity,NAME,JOHNSON MATTHEY PLC,""
JMT PL Equity,NAME,JERONIMO MARTINS,""
JUP LN Equity,NAME,JUPITER FUND MANAGEMENT,""
JYSK DC Equity,NAME,JYSKE BANK-REG,""
KAZ LN Equity,NAME,KAZ MINERALS PLC,""
KBC BB Equity,NAME,KBC GROUP NV,""
KCR FH Equity,NAME,KONECRANES OYJ,""
KER FP Equity,NAME,KERING,""
KESKOB FH Equity,NAME,KESKO OYJ-B SHS,""
KGF LN Equity,NAME,KINGFISHER PLC,""
KGX GY Equity,NAME,KION GROUP AG,""
GEN DC Equity,NAME,GENMAB A/S,""
GET FP Equity,NAME,GETLINK,""
GETIB SS Equity,NAME,GETINGE AB-B SHS,""
GFC FP Equity,NAME,GECINA SA,""
GFS LN Equity,NAME,G4S PLC,""
GIVN SE Equity,NAME,GIVAUDAN-REG,""
GJF NO Equity,NAME,GJENSIDIGE FORSIKRING ASA,""
GLB ID Equity,NAME,GLANBIA PLC,""
GLE FP Equity,NAME,SOCIETE GENERALE SA,""
GLEN LN Equity,NAME,GLENCORE PLC,""
KINDSDB SS Equity,NAME,KINDRED GROUP PLC,""
KINVB SS Equity,NAME,KINNEVIK AB - B,""
KN FP Equity,NAME,NATIXIS,""
KNEBV FH Equity,NAME,KONE OYJ-B,""
KNIN SE Equity,NAME,KUEHNE + NAGEL INTL AG-REG,""
KOMB CK Equity,NAME,KOMERCNI BANKA AS,""
KPN NA Equity,NAME,KONINKLIJKE KPN NV,""
KSP ID Equity,NAME,KINGSPAN GROUP PLC,""
KYG ID Equity,NAME,KERRY GROUP PLC-A,""
LAND LN Equity,NAME,LAND SECURITIES GROUP PLC,""
LISN SE Equity,NAME,CHOCOLADEFABRIKEN LINDT-REG,""
LLOY LN Equity,NAME,LLOYDS BANKING GROUP PLC,""
LOGN SE Equity,NAME,LOGITECH INTERNATIONAL-REG,""
LONN SE Equity,NAME,LONZA GROUP AG-REG,""
LOOMB SS Equity,NAME,LOOMIS AB-B,""
LR FP Equity,NAME,LEGRAND SA,""
LSE LN Equity,NAME,LONDON STOCK EXCHANGE GROUP,""
LUN DC Equity,NAME,H LUNDBECK A/S,""
LUNDB SS Equity,NAME,LUNDBERGS AB-B SHS,""
LUPE SS Equity,NAME,LUNDIN PETROLEUM AB,""
MONY LN Equity,NAME,MONEYSUPERMARKET.COM,""
MOR GY Equity,NAME,MORPHOSYS AG,""
MRK GY Equity,NAME,MERCK KGAA,""
MRL SM Equity,NAME,MERLIN PROPERTIES SOCIMI SA,""
MRL SQ Equity,NAME,MERLIN PROPERTIES SOCIMI SA,""
MRO LN Equity,NAME,MELROSE INDUSTRIES PLC,""
MRW LN Equity,NAME,WM MORRISON SUPERMARKETS,""
MT NA Equity,NAME,ARCELORMITTAL,""
MTRO LN Equity,NAME,METRO BANK PLC,""
MTX GY Equity,NAME,MTU AERO ENGINES AG,""
MERL LN Equity,NAME,MERLIN ENTERTAINMENT,""
METSO FH Equity,NAME,METSO OYJ,""
MF FP Equity,NAME,WENDEL,""
MGGT LN Equity,NAME,MEGGITT PLC,""
MHG NO Equity,NAME,MARINE HARVEST,""
MKS LN Equity,NAME,MARKS & SPENCER GROUP PLC,""
ML FP Equity,NAME,MICHELIN (CGDE),""
MMB FP Equity,NAME,LAGARDERE SCA,""
MNDI LN Equity,NAME,MONDI PLC,""
MONC IM Equity,NAME,MONCLER SPA,""
LUX IM Equity,NAME,LUXOTTICA GROUP SPA,""
LXS GY Equity,NAME,LANXESS AG,""
MAERSKB DC Equity,NAME,AP MOLLER-MAERSK A/S-B,""
MAN GY Equity,NAME,MAN SE,""
MAP SM Equity,NAME,MAPFRE SA,""
MAP SQ Equity,NAME,MAPFRE SA,""
MB IM Equity,NAME,MEDIOBANCA SPA,""
MC FP Equity,NAME,LVMH MOET HENNESSY LOUIS VUI,""
MCRO LN Equity,NAME,MICRO FOCUS INTERNATIONAL,""
MDC LN Equity,NAME,MEDICLINIC INTERNATIONAL PLC,""
LBK SM Equity,NAME,LIBERBANK SA,""
LDO IM Equity,NAME,LEONARDO SPA,""
LEG GY Equity,NAME,LEG IMMOBILIEN AG,""
LGEN LN Equity,NAME,LEGAL & GENERAL GROUP PLC,""
LHA GY Equity,NAME,DEUTSCHE LUFTHANSA-REG,""
LHN FP Equity,NAME,LAFARGEHOLCIM LTD-REG,""
LHN SE Equity,NAME,LAFARGEHOLCIM LTD-REG,""
LI FP Equity,NAME,KLEPIERRE,""
LIGHT NA Equity,NAME,SIGNIFY NV,""
LINU GY Equity,NAME,LINDE AG - TENDER,""
MUV2 GY Equity,NAME,MUENCHENER RUECKVER AG-REG,""
NDA GY Equity,NAME,AURUBIS AG,""
NDA SS Equity,NAME,NORDEA BANK AB,""
NESN SE Equity,NAME,NESTLE SA-REG,""
NESTE FH Equity,NAME,NESTE OYJ,""
NG/ LN Equity,NAME,NATIONAL GRID PLC,""
NHY NO Equity,NAME,NORSK HYDRO ASA,""
NIBEB SS Equity,NAME,NIBE INDUSTRIER AB-B SHS,""
NK FP Equity,NAME,IMERYS SA,""
NMC LN Equity,NAME,NMC HEALTH PLC,""
PSN LN Equity,NAME,PERSIMMON PLC,""
PSON LN Equity,NAME,PEARSON PLC,""
PSPN SE Equity,NAME,PSP SWISS PROPERTY AG-REG,""
PST IM Equity,NAME,POSTE ITALIANE SPA,""
PTEC LN Equity,NAME,PLAYTECH PLC,""
PUB FP Equity,NAME,PUBLICIS GROUPE,""
QIA GY Equity,NAME,QIAGEN N.V.,""
QLT LN Equity,NAME,QUILTER PLC,""
RACE IM Equity,NAME,FERRARI NV,""
RAND NA Equity,NAME,RANDSTAD NV,""
RB/ LN Equity,NAME,RECKITT BENCKISER GROUP PLC,""
RBI AV Equity,NAME,RAIFFEISEN BANK INTERNATIONA,""
RBREW DC Equity,NAME,ROYAL UNIBREW,""
RBS LN Equity,NAME,ROYAL BANK OF SCOTLAND GROUP,""
RCO FP Equity,NAME,REMY COINTREAU,""
RDSA LN Equity,NAME,ROYAL DUTCH SHELL PLC-A SHS,""
RDSA NA Equity,NAME,ROYAL DUTCH SHELL PLC-A SHS,""
RDSB LN Equity,NAME,ROYAL DUTCH SHELL PLC-B SHS,""
REC IM Equity,NAME,RECORDATI SPA,""
REE SQ Equity,NAME,RED ELECTRICA CORPORACION SA,""
NN NA Equity,NAME,NN GROUP NV,""
NOKIA FH Equity,NAME,NOKIA OYJ,""
NOVN SE Equity,NAME,NOVARTIS AG-REG,""
NOVOB DC Equity,NAME,NOVO NORDISK A/S-B,""
NRE1V FH Equity,NAME,NOKIAN RENKAAT OYJ,""
NTGY SQ Equity,NAME,GAS NATURAL SDG SA,""
NXG LN Equity,NAME,NEX GROUP PLC,""
NXI FP Equity,NAME,NEXITY,""
NXT LN Equity,NAME,NEXT PLC,""
NZYMB DC Equity,NAME,NOVOZYMES A/S-B SHARES,""
ORSTED DC Equity,NAME,ORSTED A/S,""
OSR GY Equity,NAME,OSRAM LICHT AG,""
PAH3 GY Equity,NAME,PORSCHE AUTOMOBIL HLDG-PRF,""
PARG SE Equity,NAME,PARGESA HOLDING SA-BR,""
PGHN SE Equity,NAME,PARTNERS GROUP HOLDING AG,""
PHIA NA Equity,NAME,KONINKLIJKE PHILIPS NV,""
PHNX LN Equity,NAME,PHOENIX GROUP HOLDINGS,""
PIRC IM Equity,NAME,PIRELLI & C SPA,""
PLUS LN Equity,NAME,PLUS500 LTD,""
PNDORA DC Equity,NAME,PANDORA A/S,""
O2D GY Equity,NAME,TELEFONICA DEUTSCHLAND HOLDI,""
OCDO LN Equity,NAME,OCADO GROUP PLC,""
OERL SE Equity,NAME,OC OERLIKON CORP AG-REG,""
OMU LN Equity,NAME,OLD MUTUAL LTD,""
OMV AV Equity,NAME,OMV AG,""
OR FP Equity,NAME,L'OREAL,""
ORA FP Equity,NAME,ORANGE,""
ORK NO Equity,NAME,ORKLA ASA,""
ORNBV FH Equity,NAME,ORION OYJ-CLASS B,""
ORP FP Equity,NAME,ORPEA,""
PNN LN Equity,NAME,PENNON GROUP PLC,""
POLY LN Equity,NAME,POLYMETAL INTERNATIONAL PLC,""
POM FP Equity,NAME,PLASTIC OMNIUM,""
PPB ID Equity,NAME,PADDY POWER BETFAIR PLC,""
PPB LN Equity,NAME,PADDY POWER BETFAIR PLC,""
PROX BB Equity,NAME,PROXIMUS,""
PRSM LN Equity,NAME,BLUE PRISM GROUP PLC,""
PRU LN Equity,NAME,PRUDENTIAL PLC,""
PRY IM Equity,NAME,PRYSMIAN SPA,""
PSM GY Equity,NAME,PROSIEBENSAT.1 MEDIA SE,""
SGO FP Equity,NAME,COMPAGNIE DE SAINT GOBAIN,""
SGRE SQ Equity,NAME,SIEMENS GAMESA RENEWABLE ENE,""
SGRO LN Equity,NAME,SEGRO PLC,""
SGSN SE Equity,NAME,SGS SA-REG,""
SHA GY Equity,NAME,SCHAEFFLER AG,""
SHBA SS Equity,NAME,SVENSKA HANDELSBANKEN-A SHS,""
SHL GY Equity,NAME,SIEMENS HEALTHINEERS AG,""
SHP LN Equity,NAME,SHIRE PLC,""
SIE GY Equity,NAME,SIEMENS AG-REG,""
SIGB LN Equity,NAME,SHERBORNE INVESTORS GUERN B,""
SCMN SE Equity,NAME,SWISSCOM AG-REG,""
SCR FP Equity,NAME,SCOR SE,""
SDF GY Equity,NAME,K+S AG-REG,""
SDR LN Equity,NAME,SCHRODERS PLC,""
SDRC LN Equity,NAME,SCHRODERS PLC-NON VOTING,""
SEBA SS Equity,NAME,SKANDINAVISKA ENSKILDA BAN-A,""
SECUB SS Equity,NAME,SECURITAS AB-B SHS,""
SESG FP Equity,NAME,SES,""
SEV FP Equity,NAME,SUEZ,""
SGE LN Equity,NAME,SAGE GROUP PLC/THE,""
REL LN Equity,NAME,RELX PLC,""
